,Instruction,text,finetunetext
10,What can be  the punishment for Equal Rights to Property: Ensuring equal property rights for women,"For the offence of Equal Rights to Property: Ensuring equal property rights for women, the punishment is Provision of equal property rights according to the section of Constitution of Nepal, Article 18 and Article 38.","<s>[INST] What can be  the punishment for Equal Rights to Property: Ensuring equal property rights for women according the law and acts of Nepal? [/INST]  For the offence of Equal Rights to Property: Ensuring equal property rights for women ,the punishment is Provision of equal property rights according to the section of Constitution of Nepal, Article 18 and Article 38.</s>"
11,What can be  the punishment for Gender Discrimination: Any form of discrimination based on gender,"For the offence of Gender Discrimination: Any form of discrimination based on gender, the punishment is Prohibited and subject to legal action according to the section of Constitution of Nepal, Article 18.","<s>[INST] What can be  the punishment for Gender Discrimination: Any form of discrimination based on gender according the law and acts of Nepal? [/INST]  For the offence of Gender Discrimination: Any form of discrimination based on gender ,the punishment is Prohibited and subject to legal action according to the section of Constitution of Nepal, Article 18.</s>"
12,What can be  the punishment for Marital Rape: Non-consensual intercourse by a spouse,"For the offence of Marital Rape: Non-consensual intercourse by a spouse, the punishment is Up to 5 years imprisonment and a fine of up to NPR 50,000 according to the section of Muluki Ain (General Code), Chapter on Rape, Section 219 (Amendment).","<s>[INST] What can be  the punishment for Marital Rape: Non-consensual intercourse by a spouse according the law and acts of Nepal? [/INST]  For the offence of Marital Rape: Non-consensual intercourse by a spouse ,the punishment is Up to 5 years imprisonment and a fine of up to NPR 50,000 according to the section of Muluki Ain (General Code), Chapter on Rape, Section 219 (Amendment).</s>"
13,What can be  the punishment for Forced Abortion: Coercing a woman to terminate a pregnancy,"For the offence of Forced Abortion: Coercing a woman to terminate a pregnancy, the punishment is Up to 7 years imprisonment and a fine of up to NPR 70,000 according to the section of Muluki Ain (General Code), Chapter on Abortion, Section 220.","<s>[INST] What can be  the punishment for Forced Abortion: Coercing a woman to terminate a pregnancy according the law and acts of Nepal? [/INST]  For the offence of Forced Abortion: Coercing a woman to terminate a pregnancy ,the punishment is Up to 7 years imprisonment and a fine of up to NPR 70,000 according to the section of Muluki Ain (General Code), Chapter on Abortion, Section 220.</s>"
14,What can be  the punishment for Sexual Exploitation: Exploiting someone sexually for personal gain,"For the offence of Sexual Exploitation: Exploiting someone sexually for personal gain, the punishment is Up to 10 years imprisonment and a fine of up to NPR 100,000 according to the section of Muluki Ain (General Code), Chapter on Sexual Offenses, Section 221.","<s>[INST] What can be  the punishment for Sexual Exploitation: Exploiting someone sexually for personal gain according the law and acts of Nepal? [/INST]  For the offence of Sexual Exploitation: Exploiting someone sexually for personal gain ,the punishment is Up to 10 years imprisonment and a fine of up to NPR 100,000 according to the section of Muluki Ain (General Code), Chapter on Sexual Offenses, Section 221.</s>"
15,What can be  the punishment for Stalking: Repeatedly following or harassing someone,"For the offence of Stalking: Repeatedly following or harassing someone, the punishment is Up to 3 years imprisonment and a fine of up to NPR 30,000 according to the section of Muluki Ain (General Code), Chapter on Harassment, Section 223.","<s>[INST] What can be  the punishment for Stalking: Repeatedly following or harassing someone according the law and acts of Nepal? [/INST]  For the offence of Stalking: Repeatedly following or harassing someone ,the punishment is Up to 3 years imprisonment and a fine of up to NPR 30,000 according to the section of Muluki Ain (General Code), Chapter on Harassment, Section 223.</s>"
16,What can be  the punishment for Cyber Harassment: Harassment using electronic communication,"For the offence of Cyber Harassment: Harassment using electronic communication, the punishment is Up to 5 years imprisonment and a fine of up to NPR 100,000 according to the section of Electronic Transactions Act, 2008, Section 47.","<s>[INST] What can be  the punishment for Cyber Harassment: Harassment using electronic communication according the law and acts of Nepal? [/INST]  For the offence of Cyber Harassment: Harassment using electronic communication ,the punishment is Up to 5 years imprisonment and a fine of up to NPR 100,000 according to the section of Electronic Transactions Act, 2008, Section 47.</s>"
17,What can be  the punishment for Workplace Discrimination: Discrimination at the workplace based on gender,"For the offence of Workplace Discrimination: Discrimination at the workplace based on gender, the punishment is Up to 1 year imprisonment and a fine of up to NPR 10,000 according to the section of Labor Act, 2017, Section 132.","<s>[INST] What can be  the punishment for Workplace Discrimination: Discrimination at the workplace based on gender according the law and acts of Nepal? [/INST]  For the offence of Workplace Discrimination: Discrimination at the workplace based on gender ,the punishment is Up to 1 year imprisonment and a fine of up to NPR 10,000 according to the section of Labor Act, 2017, Section 132.</s>"
18,What can be  the punishment for Violation of Maternity Rights: Denying maternity leave or benefits,"For the offence of Violation of Maternity Rights: Denying maternity leave or benefits, the punishment is Up to 3 months imprisonment and a fine of up to NPR 5,000 according to the section of Labor Act, 2017, Section 145.","<s>[INST] What can be  the punishment for Violation of Maternity Rights: Denying maternity leave or benefits according the law and acts of Nepal? [/INST]  For the offence of Violation of Maternity Rights: Denying maternity leave or benefits ,the punishment is Up to 3 months imprisonment and a fine of up to NPR 5,000 according to the section of Labor Act, 2017, Section 145.</s>"
19,What can be  the punishment for Gender-Based Violence in Conflict: Violence against women during armed conflict,"For the offence of Gender-Based Violence in Conflict: Violence against women during armed conflict, the punishment is Up to 10 years imprisonment according to the section of Constitution of Nepal, Article 22.","<s>[INST] What can be  the punishment for Gender-Based Violence in Conflict: Violence against women during armed conflict according the law and acts of Nepal? [/INST]  For the offence of Gender-Based Violence in Conflict: Violence against women during armed conflict ,the punishment is Up to 10 years imprisonment according to the section of Constitution of Nepal, Article 22.</s>"
20,What can be  the punishment for Unequal Pay: Paying different wages based on gender for the same work,"For the offence of Unequal Pay: Paying different wages based on gender for the same work, the punishment is Prohibited and subject to legal action according to the section of Labor Act, 2017, Section 132.","<s>[INST] What can be  the punishment for Unequal Pay: Paying different wages based on gender for the same work according the law and acts of Nepal? [/INST]  For the offence of Unequal Pay: Paying different wages based on gender for the same work ,the punishment is Prohibited and subject to legal action according to the section of Labor Act, 2017, Section 132.</s>"
21,What can be  the punishment for Disinheritance: Denying a woman her rightful inheritance,"For the offence of Disinheritance: Denying a woman her rightful inheritance, the punishment is Legal action to restore rights according to the section of Constitution of Nepal, Article 18 and Article 38.","<s>[INST] What can be  the punishment for Disinheritance: Denying a woman her rightful inheritance according the law and acts of Nepal? [/INST]  For the offence of Disinheritance: Denying a woman her rightful inheritance ,the punishment is Legal action to restore rights according to the section of Constitution of Nepal, Article 18 and Article 38.</s>"
22,What can be  the punishment for Female Infanticide: The act of killing a female infant,"For the offence of Female Infanticide: The act of killing a female infant, the punishment is Life imprisonment according to the section of Muluki Ain (General Code), Chapter on Homicide, Section 176.","<s>[INST] What can be  the punishment for Female Infanticide: The act of killing a female infant according the law and acts of Nepal? [/INST]  For the offence of Female Infanticide: The act of killing a female infant ,the punishment is Life imprisonment according to the section of Muluki Ain (General Code), Chapter on Homicide, Section 176.</s>"
23,What can be  the punishment for Honor Killing: Killing a woman to protect family honor,"For the offence of Honor Killing: Killing a woman to protect family honor, the punishment is Life imprisonment according to the section of Muluki Ain (General Code), Chapter on Homicide, Section 176.","<s>[INST] What can be  the punishment for Honor Killing: Killing a woman to protect family honor according the law and acts of Nepal? [/INST]  For the offence of Honor Killing: Killing a woman to protect family honor ,the punishment is Life imprisonment according to the section of Muluki Ain (General Code), Chapter on Homicide, Section 176.</s>"
24,What can be  the punishment for Abduction: Kidnapping a woman or girl,"For the offence of Abduction: Kidnapping a woman or girl, the punishment is Up to 10 years imprisonment and a fine of up to NPR 100,000 according to the section of Muluki Ain (General Code), Chapter on Abduction, Section 178.","<s>[INST] What can be  the punishment for Abduction: Kidnapping a woman or girl according the law and acts of Nepal? [/INST]  For the offence of Abduction: Kidnapping a woman or girl ,the punishment is Up to 10 years imprisonment and a fine of up to NPR 100,000 according to the section of Muluki Ain (General Code), Chapter on Abduction, Section 178.</s>"
25,What can be  the punishment for Forced Pregnancy: Forcing a woman to become pregnant,"For the offence of Forced Pregnancy: Forcing a woman to become pregnant, the punishment is Up to 7 years imprisonment according to the section of Muluki Ain (General Code), Chapter on Sexual Offenses, Section 221.","<s>[INST] What can be  the punishment for Forced Pregnancy: Forcing a woman to become pregnant according the law and acts of Nepal? [/INST]  For the offence of Forced Pregnancy: Forcing a woman to become pregnant ,the punishment is Up to 7 years imprisonment according to the section of Muluki Ain (General Code), Chapter on Sexual Offenses, Section 221.</s>"
26,What can be  the punishment for Sexual Blackmail: Threatening to reveal sexual information to coerce someone,"For the offence of Sexual Blackmail: Threatening to reveal sexual information to coerce someone, the punishment is Up to 5 years imprisonment and a fine of up to NPR 50,000 according to the section of Muluki Ain (General Code), Chapter on Harassment, Section 223.","<s>[INST] What can be  the punishment for Sexual Blackmail: Threatening to reveal sexual information to coerce someone according the law and acts of Nepal? [/INST]  For the offence of Sexual Blackmail: Threatening to reveal sexual information to coerce someone ,the punishment is Up to 5 years imprisonment and a fine of up to NPR 50,000 according to the section of Muluki Ain (General Code), Chapter on Harassment, Section 223.</s>"
27,What can be  the punishment for Forced Nudity: Compelling someone to be naked against their will,"For the offence of Forced Nudity: Compelling someone to be naked against their will, the punishment is Up to 3 years imprisonment and a fine of up to NPR 30,000 according to the section of Muluki Ain (General Code), Chapter on Sexual Offenses, Section 221.","<s>[INST] What can be  the punishment for Forced Nudity: Compelling someone to be naked against their will according the law and acts of Nepal? [/INST]  For the offence of Forced Nudity: Compelling someone to be naked against their will ,the punishment is Up to 3 years imprisonment and a fine of up to NPR 30,000 according to the section of Muluki Ain (General Code), Chapter on Sexual Offenses, Section 221.</s>"
28,What can be  the punishment for Intimate Partner Violence: Violence by a current or former partner,"For the offence of Intimate Partner Violence: Violence by a current or former partner, the punishment is Up to 5 years imprisonment and a fine of up to NPR 50,000 according to the section of Domestic Violence (Crime and Punishment) Act, 2009, Section 4.","<s>[INST] What can be  the punishment for Intimate Partner Violence: Violence by a current or former partner according the law and acts of Nepal? [/INST]  For the offence of Intimate Partner Violence: Violence by a current or former partner ,the punishment is Up to 5 years imprisonment and a fine of up to NPR 50,000 according to the section of Domestic Violence (Crime and Punishment) Act, 2009, Section 4.</s>"
29,What can be  the punishment for Sex-selective Abortion: Aborting a fetus based on its sex,"For the offence of Sex-selective Abortion: Aborting a fetus based on its sex, the punishment is Up to 5 years imprisonment and a fine of up to NPR 50,000 according to the section of Muluki Ain (General Code), Chapter on Abortion, Section 220.","<s>[INST] What can be  the punishment for Sex-selective Abortion: Aborting a fetus based on its sex according the law and acts of Nepal? [/INST]  For the offence of Sex-selective Abortion: Aborting a fetus based on its sex ,the punishment is Up to 5 years imprisonment and a fine of up to NPR 50,000 according to the section of Muluki Ain (General Code), Chapter on Abortion, Section 220.</s>"
30,What can be  the punishment for Deprivation of Education: Preventing a girl from receiving an education,"For the offence of Deprivation of Education: Preventing a girl from receiving an education, the punishment is Legal action to ensure education rights according to the section of Constitution of Nepal, Article 31.","<s>[INST] What can be  the punishment for Deprivation of Education: Preventing a girl from receiving an education according the law and acts of Nepal? [/INST]  For the offence of Deprivation of Education: Preventing a girl from receiving an education ,the punishment is Legal action to ensure education rights according to the section of Constitution of Nepal, Article 31.</s>"
31,What can be  the punishment for Employment Discrimination: Denying employment based on gender,"For the offence of Employment Discrimination: Denying employment based on gender, the punishment is Up to 1 year imprisonment and a fine of up to NPR 10,000 according to the section of Labor Act, 2017, Section 132.","<s>[INST] What can be  the punishment for Employment Discrimination: Denying employment based on gender according the law and acts of Nepal? [/INST]  For the offence of Employment Discrimination: Denying employment based on gender ,the punishment is Up to 1 year imprisonment and a fine of up to NPR 10,000 according to the section of Labor Act, 2017, Section 132.</s>"
32,What can be  the punishment for Forced Labor in Marriage: Compelling a spouse to work without compensation,"For the offence of Forced Labor in Marriage: Compelling a spouse to work without compensation, the punishment is Up to 5 years imprisonment and a fine of up to NPR 50,000 according to the section of Constitution of Nepal, Article 29.","<s>[INST] What can be  the punishment for Forced Labor in Marriage: Compelling a spouse to work without compensation according the law and acts of Nepal? [/INST]  For the offence of Forced Labor in Marriage: Compelling a spouse to work without compensation ,the punishment is Up to 5 years imprisonment and a fine of up to NPR 50,000 according to the section of Constitution of Nepal, Article 29.</s>"
33,What can be  the punishment for Illegal Confinement: Unlawfully restricting a woman's freedom,"For the offence of Illegal Confinement: Unlawfully restricting a woman's freedom, the punishment is Up to 3 years imprisonment and a fine of up to NPR 30,000 according to the section of Muluki Ain (General Code), Chapter on Harassment, Section 223.","<s>[INST] What can be  the punishment for Illegal Confinement: Unlawfully restricting a woman's freedom according the law and acts of Nepal? [/INST]  For the offence of Illegal Confinement: Unlawfully restricting a woman's freedom ,the punishment is Up to 3 years imprisonment and a fine of up to NPR 30,000 according to the section of Muluki Ain (General Code), Chapter on Harassment, Section 223.</s>"
34,What can be  the punishment for Forced Migration: Compelling a woman to migrate against her will,"For the offence of Forced Migration: Compelling a woman to migrate against her will, the punishment is Up to 10 years imprisonment according to the section of Constitution of Nepal, Article 45.","<s>[INST] What can be  the punishment for Forced Migration: Compelling a woman to migrate against her will according the law and acts of Nepal? [/INST]  For the offence of Forced Migration: Compelling a woman to migrate against her will ,the punishment is Up to 10 years imprisonment according to the section of Constitution of Nepal, Article 45.</s>"
35,What can be  the punishment for Violation of Reproductive Rights: Denying a woman control over her reproductive choices,"For the offence of Violation of Reproductive Rights: Denying a woman control over her reproductive choices, the punishment is Legal action to restore rights according to the section of Constitution of Nepal, Article 38.","<s>[INST] What can be  the punishment for Violation of Reproductive Rights: Denying a woman control over her reproductive choices according the law and acts of Nepal? [/INST]  For the offence of Violation of Reproductive Rights: Denying a woman control over her reproductive choices ,the punishment is Legal action to restore rights according to the section of Constitution of Nepal, Article 38.</s>"
36,What can be  the punishment for Child Abuse: Physical or mental abuse of a girl child,"For the offence of Child Abuse: Physical or mental abuse of a girl child, the punishment is Up to 5 years imprisonment and a fine of up to NPR 50,000 according to the section of Child Rights Act, 2018, Section 66.","<s>[INST] What can be  the punishment for Child Abuse: Physical or mental abuse of a girl child according the law and acts of Nepal? [/INST]  For the offence of Child Abuse: Physical or mental abuse of a girl child ,the punishment is Up to 5 years imprisonment and a fine of up to NPR 50,000 according to the section of Child Rights Act, 2018, Section 66.</s>"
37,What can be  the punishment for Sexual Violence in Custody: Sexual abuse by law enforcement personnel,"For the offence of Sexual Violence in Custody: Sexual abuse by law enforcement personnel, the punishment is Up to 7 years imprisonment and a fine of up to NPR 70,000 according to the section of Muluki Ain (General Code), Chapter on Sexual Offenses, Section 221.","<s>[INST] What can be  the punishment for Sexual Violence in Custody: Sexual abuse by law enforcement personnel according the law and acts of Nepal? [/INST]  For the offence of Sexual Violence in Custody: Sexual abuse by law enforcement personnel ,the punishment is Up to 7 years imprisonment and a fine of up to NPR 70,000 according to the section of Muluki Ain (General Code), Chapter on Sexual Offenses, Section 221.</s>"
38,What can be  the punishment for Gender Identity Discrimination: Discrimination based on gender identity,"For the offence of Gender Identity Discrimination: Discrimination based on gender identity, the punishment is Prohibited and subject to legal action according to the section of Constitution of Nepal, Article 18.","<s>[INST] What can be  the punishment for Gender Identity Discrimination: Discrimination based on gender identity according the law and acts of Nepal? [/INST]  For the offence of Gender Identity Discrimination: Discrimination based on gender identity ,the punishment is Prohibited and subject to legal action according to the section of Constitution of Nepal, Article 18.</s>"
39,What can be  the punishment for Violation of Marriage Rights: Denying a woman's rights within marriage,"For the offence of Violation of Marriage Rights: Denying a woman's rights within marriage, the punishment is Legal action to restore rights according to the section of Constitution of Nepal, Article 38.","<s>[INST] What can be  the punishment for Violation of Marriage Rights: Denying a woman's rights within marriage according the law and acts of Nepal? [/INST]  For the offence of Violation of Marriage Rights: Denying a woman's rights within marriage ,the punishment is Legal action to restore rights according to the section of Constitution of Nepal, Article 38.</s>"
40,What can be  the punishment for Forced Sterilization: Coercing a woman into sterilization,"For the offence of Forced Sterilization: Coercing a woman into sterilization, the punishment is Up to 7 years imprisonment according to the section of Muluki Ain (General Code), Chapter on Sexual Offenses, Section 221.","<s>[INST] What can be  the punishment for Forced Sterilization: Coercing a woman into sterilization according the law and acts of Nepal? [/INST]  For the offence of Forced Sterilization: Coercing a woman into sterilization ,the punishment is Up to 7 years imprisonment according to the section of Muluki Ain (General Code), Chapter on Sexual Offenses, Section 221.</s>"
41,What can be  the punishment for Gender-Based Asylum: Denial of asylum based on gender persecution,"For the offence of Gender-Based Asylum: Denial of asylum based on gender persecution, the punishment is Legal action to ensure asylum rights according to the section of Constitution of Nepal, Article 45.","<s>[INST] What can be  the punishment for Gender-Based Asylum: Denial of asylum based on gender persecution according the law and acts of Nepal? [/INST]  For the offence of Gender-Based Asylum: Denial of asylum based on gender persecution ,the punishment is Legal action to ensure asylum rights according to the section of Constitution of Nepal, Article 45.</s>"
42,What can be  the punishment for Female Genital Mutilation: Performing genital mutilation on a girl,"For the offence of Female Genital Mutilation: Performing genital mutilation on a girl, the punishment is Up to 10 years imprisonment and a fine of up to NPR 100,000 according to the section of Muluki Ain (General Code), Chapter on Sexual Offenses, Section 221.","<s>[INST] What can be  the punishment for Female Genital Mutilation: Performing genital mutilation on a girl according the law and acts of Nepal? [/INST]  For the offence of Female Genital Mutilation: Performing genital mutilation on a girl ,the punishment is Up to 10 years imprisonment and a fine of up to NPR 100,000 according to the section of Muluki Ain (General Code), Chapter on Sexual Offenses, Section 221.</s>"
43,What can be  the punishment for Public Indecency: Forcing a woman into acts of public indecency,"For the offence of Public Indecency: Forcing a woman into acts of public indecency, the punishment is Up to 3 years imprisonment and a fine of up to NPR 30,000 according to the section of Muluki Ain (General Code), Chapter on Harassment, Section 223.","<s>[INST] What can be  the punishment for Public Indecency: Forcing a woman into acts of public indecency according the law and acts of Nepal? [/INST]  For the offence of Public Indecency: Forcing a woman into acts of public indecency ,the punishment is Up to 3 years imprisonment and a fine of up to NPR 30,000 according to the section of Muluki Ain (General Code), Chapter on Harassment, Section 223.</s>"
44,What can be  the punishment for Psychological Abuse: Inflicting psychological harm on a woman,"For the offence of Psychological Abuse: Inflicting psychological harm on a woman, the punishment is Up to 3 years imprisonment and a fine of up to NPR 30,000 according to the section of Domestic Violence (Crime and Punishment) Act, 2009, Section 4.","<s>[INST] What can be  the punishment for Psychological Abuse: Inflicting psychological harm on a woman according the law and acts of Nepal? [/INST]  For the offence of Psychological Abuse: Inflicting psychological harm on a woman ,the punishment is Up to 3 years imprisonment and a fine of up to NPR 30,000 according to the section of Domestic Violence (Crime and Punishment) Act, 2009, Section 4.</s>"
45,What can be  the punishment for Violation of Health Rights: Denying a woman access to healthcare,"For the offence of Violation of Health Rights: Denying a woman access to healthcare, the punishment is Legal action to ensure health rights according to the section of Constitution of Nepal, Article 35.","<s>[INST] What can be  the punishment for Violation of Health Rights: Denying a woman access to healthcare according the law and acts of Nepal? [/INST]  For the offence of Violation of Health Rights: Denying a woman access to healthcare ,the punishment is Legal action to ensure health rights according to the section of Constitution of Nepal, Article 35.</s>"
46,What can be  the punishment for Cyber Stalking: Using electronic means to stalk someone,"For the offence of Cyber Stalking: Using electronic means to stalk someone, the punishment is Up to 5 years imprisonment and a fine of up to NPR 100,000 according to the section of Electronic Transactions Act, 2008, Section 47.","<s>[INST] What can be  the punishment for Cyber Stalking: Using electronic means to stalk someone according the law and acts of Nepal? [/INST]  For the offence of Cyber Stalking: Using electronic means to stalk someone ,the punishment is Up to 5 years imprisonment and a fine of up to NPR 100,000 according to the section of Electronic Transactions Act, 2008, Section 47.</s>"
47,What can be  the punishment for Sexual Coercion: Coercing someone into sexual activities,"For the offence of Sexual Coercion: Coercing someone into sexual activities, the punishment is Up to 10 years imprisonment and a fine of up to NPR 100,000 according to the section of Muluki Ain (General Code), Chapter on Sexual Offenses, Section 221.","<s>[INST] What can be  the punishment for Sexual Coercion: Coercing someone into sexual activities according the law and acts of Nepal? [/INST]  For the offence of Sexual Coercion: Coercing someone into sexual activities ,the punishment is Up to 10 years imprisonment and a fine of up to NPR 100,000 according to the section of Muluki Ain (General Code), Chapter on Sexual Offenses, Section 221.</s>"
48,What can be  the punishment for Violation of Privacy: Intruding on a woman's privacy,"For the offence of Violation of Privacy: Intruding on a woman's privacy, the punishment is Up to 3 years imprisonment and a fine of up to NPR 30,000 according to the section of Constitution of Nepal, Article 28.","<s>[INST] What can be  the punishment for Violation of Privacy: Intruding on a woman's privacy according the law and acts of Nepal? [/INST]  For the offence of Violation of Privacy: Intruding on a woman's privacy ,the punishment is Up to 3 years imprisonment and a fine of up to NPR 30,000 according to the section of Constitution of Nepal, Article 28.</s>"
49,What can be  the punishment for Physical Abuse: Inflicting physical harm on a woman,"For the offence of Physical Abuse: Inflicting physical harm on a woman, the punishment is Up to 5 years imprisonment and a fine of up to NPR 50,000 according to the section of Domestic Violence (Crime and Punishment) Act, 2009, Section 4.","<s>[INST] What can be  the punishment for Physical Abuse: Inflicting physical harm on a woman according the law and acts of Nepal? [/INST]  For the offence of Physical Abuse: Inflicting physical harm on a woman ,the punishment is Up to 5 years imprisonment and a fine of up to NPR 50,000 according to the section of Domestic Violence (Crime and Punishment) Act, 2009, Section 4.</s>"
50,What can be  the punishment for Gender-Based Violence in Education: Violence against women in educational institutions,"For the offence of Gender-Based Violence in Education: Violence against women in educational institutions, the punishment is Up to 5 years imprisonment and a fine of up to NPR 50,000 according to the section of Constitution of Nepal, Article 31.","<s>[INST] What can be  the punishment for Gender-Based Violence in Education: Violence against women in educational institutions according the law and acts of Nepal? [/INST]  For the offence of Gender-Based Violence in Education: Violence against women in educational institutions ,the punishment is Up to 5 years imprisonment and a fine of up to NPR 50,000 according to the section of Constitution of Nepal, Article 31.</s>"
